,STRIP_NO_6,STAND_NO_6,CORR_FORCE_STAND_6,DETAL_FORCE_CAL_6,DETAL_FORCE_POST_6,KM_6,TEMP_DELTA_6,TEMP_CORR_6,GAP_DELTA_6,CORR_ZEROPOINT_USE_6,MILLSTRETCH_ROLL_6,DELTA_MILL_6,ENTRY_TENSION_6,STAND_NO_7,FORCE_ACT_7,CORR_FORCE_STAND_7,CORR_FORCE_DELTA_7,DETAL_FORCE_CAL_7,DETAL_FORCE_POST_7,DELTA_SPEED_7,DELTA_REDU_7,STRIP_WIDTH_7,ROLL_DIAM_7,KM_7,CHEM_COEFF_7,FM_TEMP_7,TEMP_DELTA_7,TEMP_CORR_7,RM_TEMP_DELTA_7,FET_ACT_TEMP_7,DESC_SUM_7,GAP_DELTA_7,CORR_ZEROPOINT_USE_7,DELTA_ZEROPOINT_7,MILLSTRETCH_ROLL_7,DELTA_MILL_7,ENTRY_THICK_7,ROLLWEAR_7,ENTRY_TENSION_7,BEND_FORCE_7,DELTA_THICK_7,WATER_FLOW,DELTA_WATER,BEAT,INDEX_ROLL,DELTA_CLASS,LSAT_DELTA_TEMP
0,220095001800,6.0,1.0499463081359863,0.038104826900433215,-0.04315361615125521,255.58392333984375,-31.16131591796875,-36.28924560546875,0.0140256881713867,-0.11108583956956863,1.7998578548431396,-0.136215090751648,16.200000762939453,7.0,7727.1015625,1.04444420337677,2.87294387817e-05,-0.002159606660404886,-0.09599595680382259,-0.0159997940063477,0.0036216452717781,1172.190185546875,658.4439697265625,257.9220886230469,23.180038452148438,856.5064086914062,-16.08245849609375,-20.8018798828125,14.0,1073.0,2.0,0.0094237327575684,-0.1305854767560959,-0.01577526330947876,1.239123821258545,-0.1203733682632447,4.604940414428711,0.1000506728887558,18.75,638.7297973632812,0.0756640434265137,394.31274600327015,-57.1102886646986,2.6666666666666665,39.0,9.0,-21.28326416015625
1,220095001900,6.0,1.0499463081359863,0.05301949932478016,-0.041526214086393225,257.64410400390625,-48.68060302734375,-51.26239013671875,0.0153560638427734,-0.15021689236164093,1.723039984703064,-0.1518675088882446,16.200000762939453,7.0,7689.11572265625,1.0444154739379883,-0.0065401792526245,-0.002305473271655494,-0.07901153143054473,-0.0169048309326172,-0.00099580734968186,1169.6845703125,662.198974609375,258.6720886230469,23.180038452148438,842.2932739257812,-33.19866943359375,-35.65704345703125,7.0,1066.0,2.0,0.006556510925293,-0.09817153215408325,0.006027862429618838,1.2554844617843628,-0.0978957414627075,4.568957805633545,0.11654575169086456,24.375,667.333984375,0.0717511177062989,311.06720542907715,-49.55498695373535,2.25,54.0,2.0,-21.0947265625
2,220100204700,6.0,1.0499463081359863,0.08277860914831607,0.014340705849354917,254.4718475341797,-32.99591064453125,-38.5411376953125,0.0179252624511719,0.05910394340753555,1.5630367994308472,-0.0956368446350097,16.200000762939453,7.0,7028.04443359375,1.0509556531906128,-0.0682920217514038,-0.01845778995771336,-0.2397562499848021,-0.0581426620483399,-0.038471288979053504,1027.009033203125,663.0549926757812,265.9022216796875,23.361330032348633,855.4220581054688,-17.79229736328125,-22.44354248046875,36.0,1072.0,2.0,-0.005105972290039,-0.04946444183588028,0.023866519331932068,0.9134367108345032,-0.2514484524726867,4.58464241027832,0.2119366079568863,24.375,503.5405578613281,0.1017990112304688,359.1474563777447,-60.29914548993111,2.8833333333333333,63.0,2.0,-13.7906494140625
3,220107905500,6.0,1.0361357927322388,0.13757337598014385,0.06869627039399226,252.21849060058594,-35.107421875,-39.1763916015625,0.0364146232604981,-0.004296890925616026,1.4793089628219604,-0.0868406295776368,16.200000762939453,7.0,8299.248046875,1.1192476749420166,-0.0664327144622803,-0.10635417365325124,-0.2908729612410763,-0.0541539192199707,-0.03743835538625717,1029.512451171875,666.3989868164062,269.4856262207031,23.361330032348633,865.75390625,-6.802734375,-11.5264892578125,41.0,1095.0,2.0,-0.0376434326171875,-0.03971422463655472,0.007423508912324905,1.0015227794647217,-0.2457094192504883,4.578634262084961,0.10286153107881546,24.375,597.0740356445312,0.0936412811279297,516.1698786020279,-85.17384088039398,2.5,20.0,2.0,-20.42962646484375
4,220113700300,6.0,0.9975190162658691,0.04062934463819977,0.04855804098853766,256.6124267578125,-6.830810546875,-8.74383544921875,0.010012149810791,0.14557510614395142,1.5694528818130493,0.0108212232589722,16.200000762939453,7.0,7567.5146484375,1.1856803894042969,-0.0492998361587524,0.03601872983242646,-0.19351888952766985,-0.0687131881713867,-0.022696793079376217,1028.5155029296875,669.3779907226562,269.06219482421875,23.030040740966797,878.0816040039062,6.496826171875,5.9083251953125,-42.344482421875,1045.0,2.0,0.0205574035644531,0.031310275197029114,0.000386036932468415,1.0369280576705933,-0.277524709701538,5.144487380981445,0.0032227979972958565,24.375,660.3245849609375,-0.0230188369750976,423.325502038002,-54.19039762020111,4.65,3.0,2.0,17.75030517578125
5,220146303800,6.0,0.9868939518928528,0.002646869513660912,-0.030481032983207333,281.4517517089844,-37.52520751953125,-41.58404541015625,0.0024776458740235,0.010385269299149513,1.756852149963379,-0.0540761947631836,18.0,7.0,10771.4443359375,1.1138180494308472,-0.0424968004226684,-0.03568870926900091,-0.12347271644436757,0.0308494567871093,-0.00739766657352448,1168.6722412109375,662.218017578125,326.82672119140625,24.31516456604004,845.5729370117188,-24.6204833984375,-28.86761474609375,-6.0,1041.0,2.0,-0.0033845901489258,-0.11412551254034042,-0.00493178516626358,1.5456690788269043,-0.1437361240386963,4.602325916290283,0.1672634482383728,24.375,926.325927734375,0.0527753829956055,271.1363836750388,-43.53326354175806,3.1,56.0,5.0,-24.174560546875
6,220146303900,6.0,0.9868939518928528,0.018265212787574356,-0.022455832881302592,264.8998718261719,-37.66949462890625,-46.48248291015625,0.0080428123474121,0.032511480152606964,1.4708088636398315,-0.0559229850769043,18.0,7.0,9258.4970703125,1.1563148498535156,-0.0184372663497925,-0.017806489203699177,-0.11654438843709974,0.0409903526306152,-0.019952580332756046,1028.0390625,662.218017578125,313.2447814941406,24.027624130249023,862.4744262695312,-12.60345458984375,-23.77117919921875,29.0,1080.0,2.0,0.0127263069152832,-0.10919372737407684,0.00459998846054077,1.3678687810897827,-0.1428532600402832,5.12598180770874,0.17083005607128143,24.375,853.8942260742188,0.0587668418884278,520.1776434779167,-91.30659419298172,3.1,57.0,0.0,-28.86761474609375
7,220146304000,6.0,0.9868939518928528,0.05720486122939721,-0.01736443731624018,273.4351501464844,-16.7957763671875,-25.88824462890625,0.0214543342590332,0.014021286740899086,1.490486979484558,-0.1028780937194824,18.0,7.0,9306.5029296875,1.174752116203308,0.0058708190917969,0.005091995589861298,-0.08386913174686006,0.0412564277648925,-0.012789390981197357,1027.038818359375,662.218017578125,313.09423828125,24.31516456604004,868.2919921875,-5.0640869140625,-14.0302734375,14.0,1052.0,2.0,0.0228090286254883,-0.11379371583461761,-0.015502750873565669,1.4223469495773315,-0.1288843154907227,5.102866172790527,0.17435681819915771,24.375,781.3885498046875,-0.0135574340820312,395.5128357708454,-84.48716422915459,3.2333333333333334,58.0,0.0,-23.77117919921875
8,220152901900,6.0,0.9696688652038574,0.08810134234915602,0.06555268207586959,262.0623474121094,-12.70867919921875,-21.59625244140625,0.0271701812744141,-0.03837180882692337,1.4776654243469238,-0.0285751819610596,18.0,7.0,7847.0703125,1.1593973636627197,0.1160321235656738,0.16320432088010553,-0.12045623117704159,0.0521092414855958,-0.00578167289495468,1040.7044677734375,656.3939819335938,319.57672119140625,24.36018180847168,886.6920776367188,12.9091796875,0.2696533203125,72.9869384765625,1042.0,2.0,0.060807228088379,-0.11049969494342804,-0.013235673308372498,1.1638599634170532,-0.3502792119979859,5.127224922180176,0.18634283542633057,24.375,717.3501586914062,-0.069155216217041,498.33989495038986,-132.100992500782,4.516666666666667,43.0,9.0,-14.2359619140625
9,220154203000,6.0,0.9794272184371948,0.0777071318866416,0.07301466949890191,260.5354309082031,-14.35205078125,-18.06072998046875,0.0244541168212891,0.030941110104322433,1.745795488357544,-0.0068982839584351,18.0,7.0,9447.3974609375,1.1688812971115112,0.0611803531646728,0.11511044656705742,-0.10605289258419487,0.0785431861877441,-0.020256817340850827,1170.149658203125,647.0780029296875,318.88818359375,24.027624130249023,882.5810546875,9.5201416015625,6.3016357421875,57.0,1102.0,2.0,0.0652041435241699,-0.1278734803199768,-0.00038331747055054,1.39200758934021,-0.3192100524902343,4.588458061218262,0.18034178018569946,24.375,446.03460693359375,0.0204944610595704,525.0375927388668,-59.9908496439457,4.833333333333333,48.0,3.0,-19.0804443359375
10,220154203200,6.0,0.9257016181945801,0.04883391228516281,0.029276900022359702,258.4331359863281,-24.77972412109375,-31.49969482421875,0.0181455612182617,-0.00044089602306485176,1.5349082946777344,-0.0265825986862182,18.0,7.0,8814.673828125,1.1077009439468384,0.0,0.0620170600647491,-0.1790165125490986,0.0711441040039062,-0.01779256761074066,1091.2349853515625,647.0780029296875,319.1929626464844,24.31516456604004,879.2864379882812,3.99798583984375,-5.4307861328125,65.0,1094.0,2.0,0.0265576839447021,-0.16870388388633728,-0.01959358155727386,1.2115212678909302,-0.3316209316253662,4.5859880447387695,0.19230377674102783,24.375,551.6387939453125,0.0419397354125977,532.128997117281,-89.2245337665081,5.15,51.0,1.0,5.38177490234375
11,220157800700,6.0,0.9159578084945679,-0.12131529417859001,-0.1133428806385399,268.127197265625,-65.90118408203125,-68.21697998046875,-0.0416946411132812,0.03272373974323273,1.419458270072937,0.011722207069397,18.0,7.0,9304.966796875,1.1077009439468384,-0.0720006227493286,-0.09304307196488434,-0.18393197895193322,0.1045260429382324,0.00420226156711579,1040.6763916015625,648.7080078125,322.806884765625,24.32662010192871,830.0360717773438,-43.02056884765625,-49.01910400390625,58.0,1102.0,2.0,-0.0589499473571777,-0.059730708599090576,0.010140344500541687,1.2736918926239014,-0.133056640625,5.143191814422607,0.11331313848495483,24.375,584.6980590820312,0.1013669967651368,522.5236054956913,-58.12973007559776,4.883333333333334,30.0,7.0,-19.07489013671875
12,220162400600,6.0,0.9666165113449097,0.04908785555779705,0.028125579987895905,267.5622253417969,-13.6500244140625,-18.99908447265625,0.0199885368347168,0.01922394521534443,1.7091844081878662,-0.0314977169036865,18.0,7.0,9596.7548828125,1.179701566696167,0.0796339511871338,0.11727485192188888,-0.08292221583284633,0.0850024223327636,-0.00641083717346192,1170.1756591796875,655.156005859375,317.9705505371094,24.28340721130371,878.4803466796875,1.345703125,-2.49847412109375,49.0,1077.0,2.0,0.0764195919036866,-0.11968903243541718,-0.020162716507911686,1.4470455646514893,-0.2925574779510498,4.596721649169922,0.15255771577358246,24.375,968.3289184570312,-0.0466954708099365,463.2883038520813,-66.98306608200072,4.7,35.0,4.0,-43.71954345703125
13,220162400700,6.0,0.959945797920227,0.04504224520644825,0.016312362081463524,262.7579040527344,-20.71160888671875,-27.0404052734375,0.01123046875,0.07669015228748322,1.6636145114898682,-0.0425703525543213,18.0,7.0,9471.263671875,1.1000676155090332,0.0,0.06581338658652293,-0.13882236708200607,0.0833044052124023,-0.01469198614358902,1172.69580078125,655.156005859375,317.9172058105469,24.32662010192871,879.6006469726562,3.67340087890625,-2.94305419921875,58.0,1076.0,2.0,0.0336778163909912,-0.0995263159275055,-0.010731995105743408,1.3470357656478882,-0.2974238395690918,4.596939563751221,0.15657058358192444,24.375,601.2349853515625,0.0221638679504395,535.9790838807821,-71.32443632185459,4.8,36.0,0.0,-2.49847412109375
14,220178700100,6.0,0.915552020072937,-0.15866994276808447,-0.1585438330745364,272.1653137207031,-48.29974365234375,-53.97174072265625,-0.053934097290039,0.2336142659187317,1.584180474281311,0.0002161264419555,18.0,7.0,10786.5986328125,1.043365240097046,-0.0678187608718872,-0.17485374330144365,-0.22749773504575674,0.0928444862365723,-0.01005679368972779,1178.2698974609375,650.0709838867188,317.1378173828125,24.07070541381836,851.2559204101562,-34.82647705078125,-41.15374755859375,57.609130859375,1070.0,2.0,-0.0893816947937012,0.033561039716005325,-7.9233199357987e-05,1.3736824989318848,-0.0876542329788208,4.581950664520264,0.006830723024904728,24.375,683.676513671875,0.1046967506408692,429.0867229029536,-50.913277097046375,3.4,5.0,4.0,-34.665283203125
15,220184204100,6.0,0.9750630259513855,-0.058689703540738825,-0.010991892735167671,281.6278381347656,-50.3714599609375,-51.23388671875,-0.0295896530151367,0.15972837805747986,1.849515438079834,0.0805866718292236,18.0,7.0,10008.2900390625,1.111184000968933,0.0281136035919189,0.0013533702382858585,-0.07977478436089457,0.0761423110961915,-0.00586284697055817,1215.7247314453125,643.1279907226562,331.3050231933594,24.36018180847168,838.571533203125,-37.9295654296875,-38.92352294921875,41.7125244140625,0.0,2.0,-0.0045886039733887,0.002127116546034813,-0.009646685793995857,1.5042762756347656,-0.1234183311462403,5.083179473876953,0.03112831339240074,24.375,820.5638427734375,-0.0313334465026855,334.8024916946888,-34.61534735560417,16.066666666666666,14.0,2.0,-23.73956298828125
16,220195003500,6.0,1.0427228212356567,-0.21067567811084925,-0.14409125969156197,251.71420288085938,-59.40765380859375,-60.9864501953125,-0.0854477882385254,0.0,1.6397241353988647,0.1165946722030639,18.0,7.0,9678.2666015625,1.2007418870925903,-0.032313346862793,-0.10036138274938462,-0.2098636855995306,0.0922555923461914,0.02975884824991226,1060.6524658203125,652.7000122070312,303.73455810546875,25.36627769470215,833.3685913085938,-43.220703125,-46.442626953125,30.0,1078.0,2.0,-0.0676784515380859,0.0,0.013351679779589176,1.279890537261963,-0.1661074161529541,5.3226189613342285,0.0,24.375,619.5632934570312,0.2099566459655761,343.0052545517683,-12.584348872303963,164.78333333333333,1.0,11.0,-27.7960205078125
