name,corr
CORR_FORCE_STAND_6,0.911343146376081
DETAL_FORCE_CAL_6,4.856574457471185
DETAL_FORCE_POST_6,2.6125112754375803
KM_6,1.107854695248763
TEMP_DELTA_6,1.8874524138531144
TEMP_CORR_6,1.6550907926478815
GAP_DELTA_6,6.123417092497639
CORR_ZEROPOINT_USE_6,0.05860805171702488
MILLSTRETCH_ROLL_6,0.022271198554378233
DELTA_MILL_6,3.720238035136577
ENTRY_TENSION_6,0.3383895222647866
FORCE_ACT_7,0.28248994133489524
CORR_FORCE_STAND_7,1.2096721342198158
CORR_FORCE_DELTA_7,0.15122381235745852
DETAL_FORCE_CAL_7,1.0393828596659107
DETAL_FORCE_POST_7,0.5749798855219228
DELTA_SPEED_7,0.8073871748705991
DELTA_REDU_7,4.939286900038777
STRIP_WIDTH_7,0.2548911220795549
ROLL_DIAM_7,0.149448700101116
KM_7,0.001769165324591725
CHEM_COEFF_7,3.817246448151331
FM_TEMP_7,1.9302135018506812
TEMP_DELTA_7,2.1463899213535007
TEMP_CORR_7,2.0026489760668893
RM_TEMP_DELTA_7,0.011282939921701913
FET_ACT_TEMP_7,0.03219013280244604
DESC_SUM_7,0.0
GAP_DELTA_7,2.031721290972205
CORR_ZEROPOINT_USE_7,1.1176264851696487
DELTA_ZEROPOINT_7,0.687015606707804
MILLSTRETCH_ROLL_7,4.0060520666952986e-05
DELTA_MILL_7,0.13928433444972543
ENTRY_THICK_7,1.7956007648650187
ROLLWEAR_7,2.0867939421139825
ENTRY_TENSION_7,0.015045527122294313
BEND_FORCE_7,0.05151384568987587
WATER_FLOW,0.4560557574786321
DELTA_WATER,2.3634394796678904
BEAT,9.60791174852287
INDEX_ROLL,1.9787379518103765
DELTA_CLASS,1.4131834840214648
LSAT_DELTA_TEMP,0.12122141607739996
