train,test
0.5094997728843569,0.4005710482597351
0.22445802558914887,0.2666541039943695
0.16464008060459312,0.22435884177684784
0.13048420656300988,0.2094801664352417
0.11641153481216111,0.20471465587615967
0.10534853510028648,0.2002965360879898
0.09649301416953737,0.1909063309431076
0.08793396532348509,0.17640551924705505
0.08211930671309327,0.17332740128040314
0.07917907244864866,0.16542834043502808
0.07391393200248854,0.15822452306747437
0.06889191845813805,0.15559197962284088
0.0668286744458406,0.14707781374454498
0.06722491321828077,0.14627785980701447
0.06336464750031048,0.14321766793727875
0.060896290910418566,0.13812454044818878
0.05988810507572844,0.1347452998161316
0.05758306664652405,0.1331160068511963
0.056865913442737386,0.13527058064937592
0.05772959620196949,0.1306370347738266
0.05640237452657153,0.12612882256507874
0.05437515782013099,0.12676319479942322
0.05487324899085895,0.12254028022289276
0.055041319312660264,0.12368504703044891
0.053198530132176985,0.12066612392663956
0.053245068547241856,0.11451952904462814
0.05156262081007329,0.11802758276462555
0.050565243858423196,0.11366108059883118
0.04959291450398737,0.11252999305725098
0.0486992972758774,0.11468442529439926
0.04914118502304644,0.1119750514626503
0.04778863980617982,0.10691554844379425
0.047796719602336446,0.11062222719192505
0.04743169372800005,0.10553883761167526
0.04742935076979414,0.10573825240135193
0.04646724376001368,0.10296203196048737
0.045744457862741277,0.1108543649315834
0.04575489016413439,0.10627555847167969
0.046514375166476524,0.10586428642272949
0.045581902568248026,0.10035087913274765
0.0443011624076127,0.10161487758159637
0.043393122250502576,0.0983341783285141
0.04332485838664626,0.09568478167057037
0.04243350250326939,0.09367906302213669
0.0428660252758898,0.09846359491348267
0.04322545489912003,0.09392931312322617
0.04179420846681964,0.10884469002485275
0.04348634855985392,0.09784488379955292
0.04208784053203451,0.09291345626115799
0.04174053437509048,0.0930483415722847
0.042190497600820276,0.09255674481391907
0.04236166907092517,0.09927237778902054
0.04032070266090677,0.09459716081619263
0.04077206929233782,0.09452483803033829
0.04112063458960924,0.09158905595541
0.04147111516149722,0.10008358955383301
0.041737249495157634,0.09349317848682404
0.04095144441281153,0.09458260983228683
0.04075570632878956,0.09081972390413284
0.040660175779312226,0.09122437983751297
0.04057391611352625,0.09393846988677979
0.040358393667382676,0.09572577476501465
0.041191281368917004,0.09387960284948349
0.04017415005230505,0.09184201806783676
0.04116057075373049,0.0897427424788475
0.03982728921562807,0.09368310868740082
0.03930173234460743,0.09565751999616623
0.038858013383451864,0.09126189351081848
0.038877770296886376,0.08960451185703278
0.03881459591995971,0.09715195000171661
0.03984974794650926,0.09345721453428268
0.03982156670991347,0.0904364064335823
0.04001553296637585,0.08742024749517441
0.039412778408644586,0.0896742194890976
0.03849197935048008,0.08902892470359802
0.03828882645800024,0.08890484273433685
0.03860525703486289,0.09553205221891403
0.03957938692809149,0.09252642095088959
0.038252036878254625,0.09382842481136322
0.037741868433281464,0.09343802183866501
0.038254140622945014,0.08771108835935593
0.03904250282872172,0.08931470662355423
0.03774353452650324,0.09017761051654816
0.03784197211172042,0.08877982944250107
0.03852611486351889,0.08885477483272552
0.03808267705267194,0.08723302185535431
0.038115518985931844,0.08933848142623901
0.03874464364231381,0.09545770287513733
0.03888240625699943,0.09191636741161346
0.03901363973151191,0.0877264216542244
0.03793073975516164,0.08650712668895721
0.037600730323704215,0.0914684310555458
0.037332402409744066,0.08635690808296204
0.0369138739940761,0.08941340446472168
0.036969684079975265,0.08536791801452637
0.03727268366041792,0.08811482042074203
0.03767732604870487,0.08675342053174973
0.03711849892176844,0.08872143179178238
0.03676494737798699,0.09308314323425293
0.03732286862031436,0.08755400031805038
